timestamp,latitude,longitude,altitude
2024-01-15T08:00:00+00:00,36.818900,10.165800,12.5
2024-01-15T08:00:15+00:00,36.819200,10.166100,13.0
2024-01-15T08:00:32+00:00,36.819600,10.166400,13.2
2024-01-15T08:00:48+00:00,36.820100,10.166800,14.0
2024-01-15T08:01:05+00:00,36.820700,10.167200,14.5
2024-01-15T08:01:22+00:00,36.821400,10.167700,15.0
2024-01-15T08:01:38+00:00,36.822000,10.168100,15.3
2024-01-15T08:01:54+00:00,36.822700,10.168600,15.1
2024-01-15T08:02:11+00:00,36.823400,10.169000,14.8
2024-01-15T08:02:28+00:00,36.824100,10.169500,14.6
2024-01-15T08:02:45+00:00,36.824900,10.170000,15.0
2024-01-15T08:03:02+00:00,36.825700,10.170500,15.5
2024-01-15T08:03:19+00:00,36.826500,10.171000,16.0
2024-01-15T08:03:36+00:00,36.827400,10.171600,16.2
2024-01-15T08:03:53+00:00,36.828300,10.172100,16.5
2024-01-15T08:04:10+00:00,36.829200,10.172700,17.0
2024-01-15T08:04:27+00:00,36.830100,10.173200,17.3
2024-01-15T08:04:44+00:00,36.831000,10.173800,17.8
2024-01-15T08:05:01+00:00,36.831900,10.174300,18.2
2024-01-15T08:05:18+00:00,36.890000,10.185000,19.0
2024-01-15T08:05:35+00:00,36.833700,10.175400,18.9
2024-01-15T08:05:52+00:00,36.834600,10.175900,19.2
2024-01-15T08:06:09+00:00,36.835500,10.176500,19.5
2024-01-15T08:06:26+00:00,36.836400,10.177000,20.0
2024-01-15T08:06:43+00:00,36.837300,10.177600,20.3
2024-01-15T08:07:00+00:00,36.838200,10.178100,20.7
2024-01-15T08:07:17+00:00,36.839100,10.178700,21.0
2024-01-15T08:07:34+00:00,36.840000,10.179200,21.3
2024-01-15T08:07:51+00:00,36.840900,10.179800,21.5
2024-01-15T08:08:08+00:00,36.841800,10.180300,21.8
